assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,0,None,0,108156,None,,0,0,0,0,0.0,364,134,None,,0,2,0.0,None,0,Björn,0.0,0,0,0.0,376,134,31,False,0.0,376,134,0,Transferred to Royal Antwerp,2021-06-25T10:09:04.469362Z,45,0,0,None,0,,108156.jpg,0.0,0,0,Engels,0.2,False,None,u,2,7,0.0,358,132,0,0,0,0,0,0.0,0.0,Engels,0
7,7,407,None,None,11,110504,4,,0,0,0,0,530.6,50,36,1,,0,3,2.6,None,0,Bertrand,0.0,31,7,197.6,36,23,32,False,528.4,100,38,2315,,None,60,0,0,None,0,,110504.jpg,3.8,0,0,Traoré,2.0,False,None,a,2,7,917.0,25,11,135,0,0,0,0,0.0,22.5,Traoré,1
12,13,531,None,None,12,114283,3,,0,0,0,0,1029.6,9,6,2,,0,3,3.2,None,0,Jack,0.0,28,6,265.3,11,7,33,False,707.4,40,16,2183,,None,80,0,0,2,0,,114283.jpg,5.2,0,0,Grealish,35.3,False,None,a,2,7,917.0,26,12,135,0,0,0,0,0.0,16.9,Grealish,6
0,0,29,None,None,1,122775,6,,0,0,0,0,28.8,289,149,None,,0,3,1.9,None,0,Morgan,0.0,4,0,6.2,334,153,34,False,25.8,336,152,288,,None,50,0,0,None,0,,122775.jpg,1.1,0,0,Sanson,0.1,False,None,a,2,7,10.0,307,150,10,0,0,0,0,0.0,2.0,Sanson,3
7,2,492,None,None,14,122806,None,,0,0,0,0,600.5,39,27,None,,0,3,2.6,None,0,John,0.0,46,3,154.1,63,36,35,False,579.0,76,27,3330,,None,60,0,0,None,0,,122806.jpg,3.1,0,0,McGinn,0.8,False,None,a,2,7,361.0,94,56,114,0,0,0,0,0.0,19.0,McGinn,12
0,3,124,None,None,3,123354,None,,0,0,0,0,2.2,323,118,None,,0,2,2.2,None,0,Kortney,0.0,6,1,20.7,300,102,36,False,147.0,275,102,630,,None,45,0,0,None,0,,123354.jpg,4.6,0,0,Hause,0.3,False,None,a,2,7,57.0,270,92,32,0,0,0,0,0.0,7.1,Hause,2
1,3,152,0,None,6,148508,None,,0,0,0,0,180.1,169,105,None,,0,3,0.0,None,0,Mahmoud Ahmed,0.0,14,2,86.7,159,89,37,False,213.6,234,102,1157,Knee injury - Unknown return date,2021-06-22T11:30:10.533711Z,55,0,0,None,0,,148508.jpg,2.7,0,0,Ibrahim Hassan,0.0,False,None,i,2,7,478.0,66,37,56,0,0,0,0,0.0,10.2,Trézéguet,0
2,8,633,None,None,14,149484,None,,0,0,0,0,97.3,223,58,None,,0,2,2.7,None,0,Tyrone,0.0,42,2,119.3,92,17,38,False,798.4,19,3,3194,,None,50,1,0,None,0,,149484.jpg,3.6,1,0,Mings,7.0,False,None,a,2,7,293.0,120,17,128,0,0,0,0,0.0,25.6,Mings,4
4,9,710,None,None,16,169359,5,,0,0,0,0,607.0,38,9,6,,0,2,2.7,None,0,Matt,0.0,44,0,142.2,75,12,39,False,690.4,50,15,3404,,None,50,0,0,None,0,,169359.jpg,3.6,0,0,Targett,11.6,False,None,a,2,7,122.0,207,59,138,0,0,0,0,0.0,27.6,Targett,7
9,18,531,None,None,14,178301,None,,0,0,0,0,610.4,37,3,None,,0,4,2.8,None,0,Ollie,0.0,46,14,314.0,6,2,40,False,815.4,16,4,3328,,None,75,0,1,3,0,,178301.jpg,4.5,1,0,Watkins,35.0,False,None,a,2,7,1721.0,2,1,168,0,0,0,0,0.0,22.4,Watkins,2
